,address,business_id,city,latitude,longitude,name,postal_code,review_count,stars,state
0,15041 N Airport Dr,A_Ij4SwFmlRbVtRnsdSzWA,Scottsdale,33.6218351,-111.9155977,Ciao Baby Catering,85260,5,2.0,AZ
1,908 E 8th Ave,FmGZh8ZwEnSO860_2eiYHw,Homestead,40.409116,-79.897415,Enterprise Rent-A-Car,15120,4,3.0,PA
2,8540 E Independence Blvd,NFTh6mj3X2AnHJCKIFUk5Q,Charlotte,35.147422,-80.726487,Fairfield Inn & Suites,28105,17,4.0,NC
3,"701 E Washington Ave, Ste 105",NoxzrJbWS4xD9ft0ygD3JA,Madison,43.0798171,-89.3762962,The Brink Lounge,53703,30,3.5,WI
4,1 I-X Center Dr,w5WBrukfSuEyTjYUYlV4Ug,Cleveland,41.3985053,-81.8532205,International Exposition Center,44135,16,4.0,OH
5,3430 E Tropicana Ave,DAG8irsIf0hMsEgDbrOE_A,Las Vegas,36.1009203,-115.099617,Layla's Palace,89121,5,5.0,NV
6,5888 Spring Ranch Pkwy,EXsmUB2mJyJsCpCV-56Ujw,Las Vegas,36.090924,-115.2221746,Paulina Clute Events,89118,16,5.0,NV
7,"2210 Markham Road, Unit 3",WSZL9uQ9JMOrrulMKEl7Tw,Toronto,43.8092819369,-79.2445393614,Mayze,M1B 5V6,32,4.5,ON
8,35110 Maplegrove Rd,iOudjMD1sFvD9QTltPQiTg,Willoughby,41.6053496,-81.4366698,Motel 6 Cleveland-Willoughby,44094,15,2.5,OH
9,1900 Yonge St,98YzjvO45DRRvqrNv0hhAA,Toronto,43.6977811,-79.3967577,TTC - Toronto Transit Commision,M4S 1Z1,131,2.5,ON
10,707 E Lancaster Ave,AXb5gCwqHl-_v6ZIMb1mXQ,Frazer,40.0339411,-75.5818949,Sheraton Great Valley Hotel,19355,43,3.0,PA
11,"5060 S Fort Apache Rd, Ste 100",Q1MzgzH263RgYX4TU4xQ2Q,Las Vegas,36.0967114,-115.296528,Bridal Wear House,89148,4,2.0,NV
12,10166 E Clinton St,TzlaonysPohYJyLIFTk6Jg,Scottsdale,33.584122,-111.861887,Az Vip Transportation,85260,3,5.0,AZ
13,Tübinger Str. 22,by_hdCLqAMHW8EEfPYjktA,Stuttgart,48.7716,9.17372,Vital Lunch,70178,6,3.0,BW
14,1625 N Central Ave,irYAkavSVtIEyGOsHK-yPw,Phoenix,33.4667324,-112.0727233,Palette,85004,43,3.5,AZ
15,"607 Washington Rd, Ste 100",UFHwS_Bb5IrVYFWGutkY7A,Pittsburgh,40.382944,-80.043616,Fluhme Glam Bar,15228,6,5.0,PA
16,"10230 Hickorywood Hill Ave, Ste B",78Gz9WWdiEJMBfQ1MFWUSg,Huntersville,35.4113116,-80.8600863,360 Visuals,28078,4,5.0,NC
17,5188 Paradise Rd,oI75bK_eIr17BfGaMJnXMQ,Las Vegas,36.0947016,-115.1478721,Budget Car and Truck Rental,89119,5,1.0,NV
18,2898 Banksville Rd,cs2VDcXDee_jzJoPT_fycA,Pittsburgh,40.4038660051,-80.0408175681,Motel 6,15216,16,2.5,PA
19,2020 W Union Hills Dr,UX0Gp7fwXIaLjGS3aupV9Q,Phoenix,33.65636,-112.102264,Alice's Cuisine,85027,9,5.0,AZ
20,3101 Yonge St,17fB9l8NWZRWDbbAs8iqtw,Toronto,43.7253628,-79.4019375,Lawrence Station,M4N 2K7,3,3.5,ON
21,401 South Tryon St,ckq5AFmnoNxK8xtuRVtnsQ,Charlotte,35.2246161,-80.8464246,Now It's A Party!,28202,5,5.0,NC
22,16131 Lancaster Hwy,K8NUJWxYXlRyNS4SzZYMrw,Charlotte,35.028656,-80.8511594,Dunkin' Donuts,28277,17,2.5,NC
23,"1225 S Fort Apache Rd, Ste 160",m5mXo_UzCUZPfL7BXzApFQ,Las Vegas,36.1569588001,-115.292491731,Hair by Erika Shear,89117,4,5.0,NV
24,8757 E Bell Rd,bm6BYbNvzBzs1xecmAQF0w,Scottsdale,33.639811,-111.893689,TravelBug Health,85260,5,5.0,AZ
