,business_id,total_ratings
0,--6MefnULPED_I942VcFNA,8
1,--7zmmkVg-IMGaXbuVd0SQ,7
2,--9e1ONYQuAa-CB_Rrw7Tw,286
3,--DaPTJW3-tB1vP-PfdTEg,4
4,--FBCX-N37CMYDfs790Bnw,27
5,--GM_ORV2cYS-h38DSaCLw,4
6,--I7YYLada0tSLkORTHb5Q,14
7,--KCl2FvVQpvjzmZSPyviA,2
8,--LY7PrnEegglB7vnPCjQw,2
9,--Ni3oJ4VOqfOEu7Sj2Vzg,1
10,--S62v0QgkqQaVUhFnNHrw,1
11,--SrzpvFLwP_YFwB_Cetow,7
12,--TcDRzRIxhvHM4DSgEuMA,1
13,--cZ6Hhc9F7VkKXxHMVZSQ,61
14,--cjBEbXMI2obtaRHNSFrA,8
15,--g-a85VwrdZJNf0R95GcQ,4
16,--o5BoU7qYMALeVDK6mwVg,2
17,--qJNlGWyvPJfBrqwp9c0w,7
18,--ujyvoQlwVoBgMYtADiLA,19
19,-01XupAWZEXbdNbxNg5mEg,15
20,-050d_XIor1NpCuWkbIVaQ,129
21,-06-Fdi30wJx-JA8P7CAng,3
22,-092wE7j5HZOogMLAh40zA,17
23,-0BxAGlIk5DJAGVkpqBXxg,8
24,-0CTrPQNiSyClxhdO4HSDQ,2
25,-0DET7VdEQOJVJ_v6klEug,6
26,-0NhdsDJsdarxyDPR523ZQ,3
27,-0NrB58jqKqJfuUCDupcsw,17
28,-0QtTRrAMn6DKLZNef3Ojg,1
29,-0RRiWDtfnS16AKCtfvBZg,1
30,-0Sgh0QlUKVsWosCWJzGqQ,7
31,-0T0jfPnuBRdpNTXpOQZcA,2
32,-0VImVWDeqewaA3th8fzIg,3
33,-0WegMt6Cy966qlDKhu6jA,11
34,-0aIra_B6iALlfqAriBSYA,8
35,-0aOudcaAyac0VJbMX-L1g,5
36,-0mgn9dRi95otXd_h61LdA,2
37,-0mm8pqBSIOYZQHeo8XnkA,6
38,-0oNlErLlU7PQa-TpespdA,1
39,-0t6o9LXMVQ3aV8CHhRTnA,14
40,-0tgMGl7D9B10YjSN2ujLA,21
41,-0uEqc2vw1xXtuI_r1xTNg,1
42,-153AjTW5luZPK4omEujWA,2
43,-1HW4ALuB331RgjwHOA0Nw,1
44,-1UMR00eXtwaeh59pEiDjA,68
45,-1VaIJza42Hjev6ukacCNg,35
46,-1m9o3vGRA8IBPNvNqKLmA,9
47,-1uVyyy3UXNA9WoPucNniA,2
48,-1vfRrlnNnNJ5boOVghMPA,12
49,-1vulUmD1pYf0uvXBY1Fzg,4
50,-1xCh7Cocn6IwFzhELyohA,4
51,-1xuC540Nycht_iWFeJ-dw,91
52,-25X5v1q3WU6s-craJSvTw,2
53,-2Arz8twKJmxHMS3Sv-TeA,7
54,-2EAyppKR_2xuLyvJZEbRQ,3
55,-2TBP3ZGu7M-FmfoNJvbrQ,8
56,-2bYV9zVtn2F5XpiAaHt5A,1
57,-2hOglg7Lh8ZgclQJ9ba2w,14
58,-2isRNVb6PDuBagELL5EBw,3
59,-2lSbNMhXKYu7URjEE59qA,2
60,-2mS3lP1ccLLTg2oBB7OKQ,2
61,-2mTrGw66Sg-ipomugRlmw,4
62,-2pQf1ceDZyE2ReCNbj-3A,7
63,-2pmn-oTJeybmDrL-ojwrw,3
64,-2uYjztVuVZpkTNAC38zdg,3
65,-2v6N3EZAE4VDkAf7q3CrA,1
66,-2ynmEkOCP4Qg39E0O1Ruw,1
67,-33BHZKxCiREa1cfa672OQ,4
68,-33_OPx1aKM22qxioPgJ_Q,1
69,-34vSRcMz_RjN00dWIiQ3Q,3
70,-36lZCEYtRfW0ZR4Nsem5Q,3
71,-37cHdR8Z4Qrql6b6VoB9w,2
72,-382X_bWhJKPJKP1VfXOmw,11
73,-3AVh1GtLRc-HOwORLuzaQ,1
74,-3D6AMz5nfIN6V4won4i-g,2
75,-3EqqxYhmi3G0QG1-zPyCg,1
76,-3Haoc0l9DZRSXxIHi9oJg,1
77,-3oxnPPPU3YoxO9M1I2idg,24
78,-3rvpkYkYD_N1IP4hSvD0A,5
79,-3zffZUHoY8bQjGfPSoBKQ,120
80,-4-MzST67P_jnX4mh3MIcw,4
81,-40RDS4F54qiGiEQUsZaXA,1
82,-46pFijv3f2jZH-_Ze6CQA,4
83,-49WY_TEa9ZEcRk_GnuLog,1
84,-4B9nqmqqWUxzbQarf40uQ,4
85,-4Jk0DpyIkfzo5iswGe_nA,3
86,-4TMQnQJW1yd6NqGRDvAeA,68
87,-4bPFENRdTqjML8aKEL6ow,10
88,-4eA7Um2eiOKsGLmcXNx_w,2
89,-4g68Hwm892_KPUuW5g1_Q,7
90,-4gwgdvSq_PqOmHb70au8Q,19
91,-4lgvwr6d8ztCPlCXl-NFA,2
92,-4r79rBA8m7G2gUNoXSKCw,1
93,-4w2eZqQJcS-UNuB1lCPFA,1
94,-56TP_w4VG2oNGpauDMOOQ,1
95,-5DifC-lAFioAD_DLVgTMQ,1
96,-5L8zOxibac-vBrsYtxXbQ,16
97,-5NXoZeGBdx3Bdk70tuyCw,17
98,-5XuRAfrjEiMN77J4gMQZQ,8
99,-5brzniWtye3w__aEvCaAA,1
100,-5dd-RjojGVK9hjAMCXVZw,1
101,-5fK4OgKir00PiuiGUIrAg,2
102,-63pZrN9eEFoi-avMMx6Ug,7
103,-6GJMc_Ln7csmvWWvY2iug,5
104,-6NrhIFET7iWi4d5538fiA,5
105,-6c23X5Qf922FmsX_QHFqg,3
106,-6e0liTvH5EoB4HuncuQgA,2
107,-6h3K1hj0d4DRcZNUtHDuw,80
108,-6hVnjeCvU_ImnQEJyrGrw,1
109,-6mzdR0YjOToJ8E04Y9O0Q,3
110,-6tvduBzjLI1ISfs3F_qTg,170
111,-73xAVllMh_O2nEAcGtbvQ,2
112,-76didnxGiiMO80BjSpYsQ,26
113,-79cl_yASWXiv7RmzirNxA,4
114,-7BCZH437U5FjmNJ26llkg,15
115,-7EwIdxcRC5McO35DVfeSQ,16
116,-7H-oXvCxJzuT42ky6Db0g,84
117,-7HB0UjguXW8csOH9svG4Q,8
118,-7PX_FOoCwktlunImRyZdg,17
119,-7PuYohz9dR80iGfVR_kLA,2
120,-7VzJ1aG5yuWB9LT42yhlw,1
121,-7XWJYkutqhIxLen7Grg1g,11
122,-7bRnaHp7OHz8KW-THqP4w,1
123,-7d3UqQYYcBxbDH2do86sg,7
124,-7teXSpi9nqy58WUd-8yfw,4
125,-80pfkoY1Br4BrcGjy87JA,1
126,-865Ps6xb3h1LP67JcQ3mA,6
127,-8AoSGOdZyDdTpT2oqX3zQ,2
128,-8F04F54iDT6VgWPCgybug,7
129,-8ILwSisSrTzcyy_Z0o9oA,9
130,-8JaNeG3etLgOVyg2gOIiA,11
131,-8O8sVCnaIKHP-596zN9UA,39
132,-8Oaw94x2pYJCVP8ZtuTTw,13
133,-8PU0Z4Q2Nc-sY0eBj4DiQ,2
134,-8QlV3b_9H4BAh6LgMIr1g,94
135,-8R_-EkGpUhBk55K9Dd4mg,12
136,-8ZiMXZReeTD3kwEvS0Lww,23
137,-8fOqUWFX_1qiKggIt5LnA,1
138,-8hAGEWRSKtpLZ8e3L2xhA,3
139,-8iwcXhLnyqbLgvcrJGgaw,38
140,-8jeDY-TJ_e6w7h0c--A-w,8
141,-8lx51-dbVuf0gXWSUqvdA,7
142,-92cC6-X87HQ1DE1UHOx3w,11
143,-95mbLJsa0CxXhpaNL4LvA,115
144,-9CvNuJ35elp7YwIy4xHDw,2
145,-9Ir5OiFiOszIgeFgalXcw,11
146,-9NsB0DPOp1fG5FvE3iAcg,3
147,-9S_n0bktrfv3h3YIOPVfQ,2
148,-9YyInW1wapzdNZrhQJ9dg,29
149,-9eNGMp8XiygI8t8QFuFWw,52
150,-9f4nwpQz8LbQQhadj4jnA,2
151,-9j_qW9w64v_Nxa6dLeeOA,2
152,-9lOQ0Lfm8wiu8eSdUXS8A,4
153,-9mbcOcl0oGqntP0edUWdg,2
154,-9nai28tnoylwViuJVrYEQ,59
155,-9u2uFwhlj3Yq4mG5IweoA,24
156,-9xZZLLxuQabvBDODqpM-g,4
157,-9y6MruLgFTNrl11SQRPFA,1
158,-9yG5SmYxH8BLg4bML8VQg,5
159,-9zPSrzbZ81FismxDSGLtA,1
160,-A4suUjxa7gNaiUMDjO42g,1
161,-A9sm-E6uQxWTJ_MuyOzFw,13
162,-AD5PiuJHgdUcAK-Vxao2A,54
163,-ADtl9bLp8wNqYX1k3KuxA,35
164,-AFB5hlv1SQl-tXVZSq5JA,1
165,-AGdGGCeTS-njB_8GkUmjQ,1
166,-AUh0iDyhLV6OfXloHPl0Q,1
167,-AVRReI-nfsa0lKlehEojw,12
168,-AgGcbf7oX_MkGGQhaMH0g,5
169,-AgfhwHOYrsPKt-_xV_Ipg,5
170,-AtzcXIwEP6yO7rM9CM9ww,8
171,-BAOJ8aA5MCrYx_tQUyZHg,2
172,-BAUrljU90RNV-hkokLhXA,3
173,-BCsZDnoWqGB_hLnpY0LCg,1
174,-BQ2I_jy1GcgaA7_XJKXwQ,3
175,-BS4aZAQm9u41YnB9MUASA,17
176,-BSf1LtnOrtCWAzmumxUpw,21
177,-BX2FrUbRD-8kt1W4ZDEcg,2
178,-B_4pHQkzU12AMaYkkY4cw,16
179,-Bb3kfdHIX1qm2RvtHnOTQ,2
180,-BbnAc9YEO6pjvJGEtFbVQ,35
181,-Bdw-5H5C4AYSMGnAvmnzw,98
182,-Bf8BQ3yMk8U2f45r2DRKw,36
183,-Biboxy2pG3MovBOF_r4SQ,6
184,-BmqghX1sv7sgsxOIS2yAg,30
185,-BplplCOayCupKnRVZcclw,3
186,-BrMNg4MbpftOUTjOMVp9g,18
187,-Btu8zliXgeSH4eBm1u9Rw,3
188,-BuZrOMqgO4OU_UKYSddAg,9
189,-Bv-HHUs8aHzDrdWcZHn8w,12
190,-BvRroH7Q2CbJnp-IygX3Q,1
191,-BvX-RoDZVobhnL00XW1dA,1
192,-BxWyEIQ6wypT-37MzZizQ,63
193,-C1TuPTKUq-s5VPAcg81Sg,8
194,-C8sSrFqaCxp51pyo-fQLQ,29
195,-CFKgOGpYPIt8NnqidaZCw,29
196,-CIBIdV0StkHJk-gdxOGpg,1
197,-CLTZ0cO-ooKDDmXHFoGMg,15
198,-CQOi19Yld530V-_Jz9rBQ,1
199,-CQokjildrY7UZezXCdEBw,12
200,-CZwX0Fy14DGCY_2aFkhKg,1
201,-CbDQXiuKzPQ0_jiUz03aw,7
202,-CfFjcCcGGDM9MVH_d42RQ,41
203,-CfqFIH6rxUxJL9gR-k_XA,3
204,-Cgs8OSZkwYQmD9CTRjpDQ,11
205,-ClafaRWkSRTfieIzO4r3Q,9
206,-D9NFU_SZpp5J7VCSsPp1Q,12
207,-DCfZwgC52GtZlXaFQgOUw,1
208,-DOE4Qs8IMfgkvshYKfC7w,2
209,-DUQQsE2QvFIuqO5EiChQA,1
210,-DUbOEoenPbeJu35e9Ukrg,4
211,-DcE_4T0_iRKGLARmjsjUw,5
212,-DkhPijabXuTNvNteIpRPw,8
213,-DnaKAs2oK3rXfrjSvn9ew,46
214,-Dnh48f029YNugtMKkkI-Q,92
215,-DrDzpZaMrNnH55ZVyTXRQ,25
216,-DtaPJJ-beogNkDKusGhlA,9
217,-Du1WSRseqUXbCt_K-D-ww,10
218,-E0MTAQNejeAQxo4Yk862w,3
219,-E99ntlcOByVayPyA9Ak8A,2
220,-EKDN1BbaPQD4FTPD9YNCw,9
221,-EVu9Hy0YzUvfCBc0_1cgQ,5
222,-EX_qttyhm5YNb8NWtAcCQ,14
223,-Ej5bLw_bYuKt20kBFQi3w,2
224,-Enu_Cc8lJ-yVcRvatf0hw,4
225,-EohS3nXZGl6odE9Lx5BSw,1
226,-ErwgUmZ1-jHW_rSu55jlg,6
227,-Eu04UHRqmGGyvYRDY8-tg,153
228,-EwVs_4fsdWoHebCOa6_FA,5
229,-Ewxv_Wc1uQzJQQBeQJWyA,1
230,-Exy3mLCqzh-MMIqeuJ4Tg,2
231,-F0B5F1YLx7093otwgboxw,8
232,-F17x1g8cN3ZTUYexrvBdw,6
233,-F5mm0-YeCI7viSiOwVAAw,42
234,-FDkvLmwaBrtVgYFqEWeWA,1
235,-FHjXYCSizyNgUv-EXn6Yg,1
236,-FLnsWAa4AGEW4NgE8Fqew,180
237,-FNquqGseSCVMWo7KbK-Tg,25
238,-FPc3kwUU9GTDd4LzurvTQ,4
239,-FQHy8Fkk-YPCoMHsRoZdg,2
240,-FXxZWNlJ21jQKjc9UlHJg,2
241,-F_AgxivXAvqOLzE8elnow,1
242,-FcZY7a7qgxTUlTvwuyJnQ,29
243,-FcuxZqsQ0FO35GEXExwjw,4
244,-FlrlELIGmCqdt_JxbdFgg,2
245,-Fq75GKdSKwhTVISzyc6rw,1
246,-FrgepJj0h-OWU1CupUrOQ,21
247,-FtngCwHCD2tRlH8jpj_Ag,93
248,-FveSBaantlFExq__ESLcw,1
249,-FyfimfMvvOcMT7Cr4q2Aw,1
250,-FyvAo_bNe6eXWpEHpSUrQ,5
251,-G0FLsRFAesyK9ne8WKR5g,1
252,-G7MPSNBpxRJmtrJxdwt7A,8
253,-G7o-R3GWJlviuA1ftOHwg,1
254,-G9DFmuokdYk_H35ezRkAw,1
255,-GDfRHphXjccSWhliFHnzg,5
256,-GHqz1jGYzAtn27CeHeWeA,3
257,-GOpxpQbDcfioE-vQ55h6A,2
258,-GOsHrWPC0meDRgkCEgC8w,15
259,-GQzMguGfB4jswo8jAO7CQ,3
260,-GUi0xyzwT9KJPS0v96dRA,8
261,-GWI_4FktOD7fwHW1DgZCA,17
262,-Ggr1M22MxTbP2J8L7oHqw,2
263,-Gh82g_IrQxW59zjNaCldQ,9
264,-GkXrgdeRSn446BY8XrFYA,1
265,-Glmj_sxqCu0F3G62kFt1Q,2
266,-GpTZfp2qxyV-20Vu9_mBg,10
267,-Gxe5gKrskrgbWyLkz7UGQ,8
268,-Gy0BAMgRN4sGlY7theqxQ,19
269,-H1-IzxW6CXmjhmF5F6iMA,5
270,-H3hHmLfDmXQyuAlb3qFfg,4
271,-HBJlnZhUEmIwpnyTFgSRA,2
272,-HIwk8B2mWzGS84vuM8ybA,4
273,-HLGtKB3XtyawZAuvNoQjQ,3
274,-HO8ejDGgvj_Guw3R6lH1g,4
275,-HVFJ-fD12z1evEExDPZ_A,3
276,-HX9QwGulN-oKsXsbjqBMA,3
277,-HYt7RFN333ATu9UwYcKCg,4
278,-Haznphi4oNpwS0E5SWCeg,2
279,-HfeXGN4O83x8P4rZc-_kQ,1
280,-HgbBv9Yjqv735F9fwCZNg,15
281,-HlfeTND7PATNVduJ_35lA,5
282,-HlyfS4iSUfHfLlKJbEJdA,8
283,-HpY7t06AtvasLfJJmY2ww,2
284,-HsqnPAz374YSoyFDyjl3A,15
285,-Ht7HiGBox8lS1Y8IPjO8g,134
286,-I27yVw2x_-31_OOMSH02w,39
287,-I3yF7ZzQmYY8iqdTNHHsg,1
288,-I7Vz5eDjc63xKmmt4Qx4g,6
289,-ICGmF2qUVKdvOehVNgPbg,50
290,-ICQMI130-eTmQb5TaYH8A,10
291,-IFq5ULEK4Fl8ZzrArtB5g,3
292,-INdswGdyRyy72xXHalNbg,29
293,-IP0Y1XLcnxb6yfMxPcLfQ,2
294,-ITj6Pu8Gdw8MmLf0XBEKQ,63
295,-IWsoxH7mLJTTpU5MmWY4w,142
296,-IXNFjtECsn8fqF047tYFw,9
297,-IZvuqxekWEvJqDw308daQ,43
298,-IgpK9WT_m5vzjK8jScEOg,1
299,-InU2nAbC9AuS-Um2Cowgw,8
300,-IoO4qZCdIQNgj2vCt9hqA,7
301,-Ipm_8YXj9UoNNHagCvsNg,31
302,-IpnhwIaFpRmd8mh4lqYUw,2
303,-Is6Ney1wmsJAjvDdkaaaQ,1
304,-Iu6EwsbZQZY8HTBN853Iw,2
305,-IzV9Xtwdnh8CCvTPwdIfw,2
306,-J-d5x84RuyLNiUzOhO_6A,6
307,-J4jk3UT8MXAmzP7KB49jQ,1
308,-J6FVdY9pSgAdFmmalO-pQ,32
309,-JDAieYuZocQSVYGqwWKog,1
310,-JFVxwdVQfX207554dx1nw,23
311,-JKp9ykFyhswkIQ6XhhJOQ,1
312,-JP761N6ad3aLsZXEjyYAA,1
313,-JPz4W7MPOy-rQO8OKNk0g,2
314,-JSNg-5sfsQ5hVVyE2aayA,3
315,-JXt_PElFkCvgRViW05bew,1
316,-JfncbVURtvuzBbof40o1w,35
317,-JgxoIIxZf0q-PGD7P96Fg,5
318,-Jhlh8Scjy669NdtCfKSSg,18
319,-Jir6LZcD9VS4jiBmuGK0g,17
320,-JjKeyuY8h2gbV1FcpiYcQ,3
321,-JkxHGA3nBASzwYdBDAiow,3
322,-Js0NjBhIXdH343IDLeKpA,3
323,-JuHqV9ZIfc0U5JVsicYDw,1
324,-JwSuDqyFILFJmVpjrVbwA,41
325,-Jx2rd2rH7MlWfb9RMtCFQ,6
326,-JzL9Xkx42k82uKSy3X5Zw,12
327,-K3kqmykKlhlB4arCsLHOw,17
328,-K4gAv8_vjx8-2BxkVeRkA,1
329,-K82LBrI3H0FVuhTbNDpRA,50
330,-K8DrVQCbcfzHEwplqBrLg,1
331,-KIdCJnkt5N8rnnmWR5MQg,33
332,-KUOQZxJqGjf4NfK3j43tQ,3
333,-KWHuAnRPvNBIh2yhBC2kg,8
334,-KXpGfcnGexOXUzJmfLUKg,1
335,-KYq3eqNvYJ-XHztPpXjvw,1
