,business_id,review_id,stars,user_id
0,8QWPlVQ6D-OExqXoaD2Z1g,HRPm3vEZ_F-33TYVT7Pebw,5,_4iMDXbXZ1p1ONG297YEAQ
1,qR62k9TVEVwRuQH6-4avHA,SlXVmKGv10icLuSrqeuqgQ,4,u0LXt3Uea_GidxRW1xcsfg
2,vtJKOOyg0NisrB45K33cdQ,JX-fBn2d8sAN-wwUSe9elA,4,_L2SZSwf7A6YSrIHy_q4cw
3,6Q7-wkCPc1KF75jZLOTcMw,PRj0OFgJjN5ljpeDskP_Tw,2,nOTl4aPC4tKHK35T3bNauQ
4,eAc9Vd6loOgRQolMXQt6FA,cmkmbCKmQOMkl3BEov6K3g,4,tL2pS5UOmN6aAOi3Z-qFGg
5,E3yER5W6Wsyc5ncGKb9Nzw,iLSq7R0OO6FueTH5O-toOQ,4,tL2pS5UOmN6aAOi3Z-qFGg
6,yhgUyctWczUN13MinNgZ3w,BU4KiBXGvrudZ_Dbx0lT_g,3,tL2pS5UOmN6aAOi3Z-qFGg
7,M1uWeMO42AI6fapl3utJoA,VIAGXpdyrJAwal1dvBJDEQ,5,tL2pS5UOmN6aAOi3Z-qFGg
8,0QzCeORfF8EY34UODWRV9A,07a2plnul5U37VSEgarugA,2,tL2pS5UOmN6aAOi3Z-qFGg
9,K8MWIwCrS5w-Dbi9UHOlhw,jb28Fwfp0VI3lqIkIiEcRw,4,tL2pS5UOmN6aAOi3Z-qFGg
10,El4FC8jcawUVgw_0EIcbaQ,wFbab23q-rm4hDuexe2fYQ,4,tL2pS5UOmN6aAOi3Z-qFGg
11,Vq-peJrXYkVWPPngMQi0Lg,ED0ZG6hKWMji631ouEGWIA,3,tL2pS5UOmN6aAOi3Z-qFGg
12,ByFMv3p5X1aNeZhU61rDcA,T2wgHd7G5gXIHUuHhwmZVQ,3,tL2pS5UOmN6aAOi3Z-qFGg
13,2x7wI6CrxO2N_DbwsBtr5A,tVu36E1L26QF-WH_Uj7O3Q,5,Y76nS3L426UCz7N_1pUfUQ
14,eAc9Vd6loOgRQolMXQt6FA,IRybK8-2g5hh74O_pK-Jzw,4,3wB-JjsUjkvdNUDRnChsVg
15,vx1gUYqYQE2O5rfOrUi-Cw,yPIqBuidOTRXA-WKa2sCFg,4,3wB-JjsUjkvdNUDRnChsVg
16,ajoqEHnCZTD8-8GqGLq9-Q,-816-A_6HiplYYqC3rAniA,4,3wB-JjsUjkvdNUDRnChsVg
17,ebTvBxSStI9Vf5Tpux_X3Q,s7tEzvdfxVxJpVM9KMAeqg,1,3wB-JjsUjkvdNUDRnChsVg
18,swtA5YoSGm0V5esQuDm2NQ,01wfQo198yQsSylRBCzHjg,3,3wB-JjsUjkvdNUDRnChsVg
19,t-o_Sraneime4DDhWrQRBA,Vcqz5-b77WGotmJrRQVoPA,4,3wB-JjsUjkvdNUDRnChsVg
20,kCatAFdvOhpdeV5UZK-7Fw,oykEwtPkPoME1nYmx2Un4Q,4,3wB-JjsUjkvdNUDRnChsVg
21,EIat5e4gz0MjHG1Z2SHqcA,8JwpRu5QPycS5S5eo9vPIQ,2,3wB-JjsUjkvdNUDRnChsVg
22,T5kG7e63YFDrNxEfNKBV_Q,wNuQvBvMlBpwLyhWsdUSSg,2,3wB-JjsUjkvdNUDRnChsVg
23,Az_60nNuh1FH8Ds8oasZjw,nuedHYRWlMHMwkuJDUPUmA,4,3wB-JjsUjkvdNUDRnChsVg
24,yQab5dxZzgBLTEHCw9V7_w,NqPKmNaaGimxhUVmQGO3Mg,3,3wB-JjsUjkvdNUDRnChsVg
25,Ql5npMMRWKurN99tgA-g5w,pPnhNIL4x-LO9wW-MLG3TA,4,3wB-JjsUjkvdNUDRnChsVg
26,9SU7ZZhaFUJJ6m2k5HKHeg,LD1hQL8BkSbb3r6S8eiSXA,3,3wB-JjsUjkvdNUDRnChsVg
27,JmI9nslLD7KZqRr__Bg6NQ,S50ZVrSjKFseL6sJmQ2yxg,2,3wB-JjsUjkvdNUDRnChsVg
28,v9u0NgjA4iQeKGevFnYSCA,vp4JoD-n3wSrdSB5MHTjsA,3,3wB-JjsUjkvdNUDRnChsVg
29,qjnJFZtsY_nfRzoL3J_UWQ,n740OaWQjyY28fQQQq5sJQ,1,3wB-JjsUjkvdNUDRnChsVg
30,AV6weBrZFFBfRGCbcRGO4g,uHXUnUuM14RiC3eDAz9inA,2,3wB-JjsUjkvdNUDRnChsVg
31,eEnNw3_hBvxcFHyr23kAuA,fv4RpuMQhA-AMob7ZKjdhA,3,3wB-JjsUjkvdNUDRnChsVg
32,a4grXFNKZmZm0ZJXd1PVdQ,I1NAEF-HR38RZO2kzMAkzw,3,3wB-JjsUjkvdNUDRnChsVg
33,El4FC8jcawUVgw_0EIcbaQ,DNbewiD0kDJ6a6cYdfbStA,4,3wB-JjsUjkvdNUDRnChsVg
34,WYw3Uf56DT5IwpaLNnCH5Q,P48gNDmeKXqPB1bWzKykyQ,1,YqoJKZhDnuBpNfwWFVRSRw
35,BkwCSU4RrH0qDHthDK8mtQ,xboYTbwLAk8CFmp7xggHrQ,5,AnfcU9TlluOI794ONyqMFA
36,BLIJ-p5wYuAhw6Pp6mh6mw,_jWZqM8QQeVPRdPmfkYcUg,4,62IDDcERQaYe86babxUa4w
37,ZbQC5MCxZPg2HhrQ2VV4lw,6P_oYxAfFvFqKVbcAQIVWw,1,MrDgFmPTbUU3W_ED-4uONA
38,-Ucy8i4uc_OzN8y5fkGVaQ,hNaLEztdshtDWv1vcl2UGQ,5,5V8eXkTJb6IejJkMDaj_Bw
39,zJCbSgXWFWwvKiIRFFuiTA,lUfB3n6banvhLOcwRxU0_w,4,5V8eXkTJb6IejJkMDaj_Bw
40,4rnfwRvwAHSQfsihafmaXA,9vZpNO5LJu23ty3B_wYhKA,3,5V8eXkTJb6IejJkMDaj_Bw
41,BIBWGO_r_1znnlmLbp4Nxg,EGKzyxDlLQO-CseX0St7-g,4,5V8eXkTJb6IejJkMDaj_Bw
42,JmI9nslLD7KZqRr__Bg6NQ,NiKuTNBq_1NbWcv1JWl5Rg,4,5V8eXkTJb6IejJkMDaj_Bw
43,-sAr-LA9TsIdl37UjwBlvg,62X4OgV4-ayyFAFfhi7xAQ,4,5V8eXkTJb6IejJkMDaj_Bw
