business_id,name,stars
--o5BoU7qYMALeVDK6mwVg,Nightlife Tours,3.0
--orEUqwTzz5QKbmyYbAWw,Advantage Rent-A-Car,5.0
-0VImVWDeqewaA3th8fzIg,Bachelor Vegas,5.0
-0XFoI1UKfuRKwyAl85zAQ,Best Western Inn,2.75
-0qht1roIqleKiQkBLDkbw,Cancun Resort Las Vegas by Diamond Resorts,2.9565217391304346
-1H-8MO9uEyS9MGmPz3RQw,S-Bahnhof Stuttgart-Vaihingen,1.0
-20nZ6ztmBxGW4sOY7JPHA,Travelodge,2.0
-2ToCaDFpTNmmg3QFzxcWg,Showtime Tours,1.5072463768115942
-2uhc4spgMqJMy0YSxConA,Alamo Rent A Car,3.6666666666666665
-3aIddETchOJB-vHcTbbWw,Holiday Inn Express & Suites Charlotte NE - University Area,1.0
-4_n--u4Z_SBbgz1zUKpYw,SpringHill Suites Scottsdale North,3.8
-4mgAuWdtcXNkJ2yRWwHzw,Holiday Inn Express Whitby Oshawa,2.0
-59qsDRpa1NQLcg1y6zuPg,First Class Limousine Service,1.0
-5KBZ3UmQzW_PkrjHGMuUg,Econo Lodge Inn & Suites Airport,2.5
-8-JRYJpYbCVD1nu7m_8AQ,Enterprise Rent-A-Car,3.0
-8oIw0-YzvYNRydiOPyasw,Radisson Hotel,2.0
-8oOxTgKC6VkE07opJyl-w,Universal Truck Rental,1.0
-A5jntJgFglQ6zwAmOiOMw,Baymont Inn And Suites Las Vegas,3.0
-AZN6ojHeKPMubDFgDK84g,Bixi,3.5714285714285716
-C8S2OPEOI1fL-2Q41tWVA,Findlay Toyota,2.9836065573770494
-CAH9wLiFuilgPsERKXL5A,Thrifty Car Rental,1.0
-CXi1Mzut65e9nvEuhPuHg,Limo Connect,1.0
-D-xLDvJ822k6CrB9WSORQ,Four Points by Sheraton Hotel & Suites,2.0
-F6uKOdNYRV3ejbn7MiVNA,Hilton Toronto/Markham Suites Conference Centre & Spa,3.076923076923077
-G9DFmuokdYk_H35ezRkAw,Dolphin Bar,1.0
-H7FXAmu00DQ3fdOGxxBCg,AAA Warm Springs,5.0
-It8eqCz-Jo83vJhgK1vDw,TSA Checkpoint - Terminal 3,1.0
-MQZ6z1-5xVwuiuE_rngQA,Park 'N Fly Cleveland,4.7
-MWC_QuOCSOXlJ9G2ohZMA,TNT Tours,4.5
-MwAxDEDeWxN2Mj9U0Rzww,VIP Unlimited,3.6666666666666665
-Odt3mjp83IoQhzJkzRZdA,Lux Umbrella Group,5.0
-Ouptmot-7ECpeyWNZufPA,La Quinta Inn & Suites Mesa Superstition Springs,2.75
-P76AJ-L73FvsgqO4RnG2A,Crowne Plaza Resort Phoenix - Chandler Golf Resort,1.9259259259259258
-QqEeuxJbuXmCcTJq3E2sg,Hôtel le Saint-André,4.666666666666667
-SqkZhrDhdctuFiaweGR6g,Hertz Rent A Car,3.0
-Suap0Wo7-lcUXadXsgmOQ,Segway of Scottsdale,5.0
-TwP7k3C82gufX0ya4VfQg,Hotel Ritz Garni,3.0
-U5zzQisAz0QHjr_TFIIGQ,"Toronto Harbour Tours, Inc.",2.0
-UZwW6dbda9tG-DBL73Xcw,Discount Rental Car,2.6666666666666665
-Ucy8i4uc_OzN8y5fkGVaQ,Taliesin West,4.454545454545454
-Ud5PK1dNQUMf2wfFeMdSw,EZ Travel Las Vegas,1.0
-VIovoVYsiTt7-U_BNOFnw,Townplace Suites By Marriott,4.0
-VruCC0mPOyZXW1MfQLkQA,TownePlace Suites Scottsdale,3.25
-WB69WHshN1CvOGaKR3V2g,Inselbad Untertürkheim,3.6666666666666665
-WlGnDiAwHdhclu9l8786g,Hilton Lake Las Vegas Resort & Spa,2.6052631578947367
-Wm-SQIPPHYw230i53M7EQ,Park Inn Stuttgart,3.0
-ZM7SswolaaD_PkyvaXLnA,Grand Canyon University Hotel,3.7142857142857144
-ZrgivYktB5OJB78SjZ-XQ,Car2Go Montréal,1.0
-aEfF30-HyO6qZI909VXFQ,Montreal Nitelife,5.0
-aZJYlL8sb8UGHcFoDIqSA,Home2 Suites by Hilton Pittsburgh - McCandless,3.7142857142857144
-aqb_GgAbEIOdhbY0UDKog,Relish Burger Bistro,3.8823529411764706
-bu1imZrNNcACAeGfb6psg,Baymont Inn And Suites Hudson,2.2
-cMZseG83WjioeJytzrM3g,AAA-Green Valley,3.5
-fGIrAgvRyYg-w_j0v6JbQ,Rodeway Inn Downtown Phoenix,4.0
-g4nKtwFs2ZqC-P_caNmxg,Stone Gables,5.0
-g7Gj0FfctLeKHNfToNI5A,USO of North Carolina Charlotte,5.0
-g81bxMqgpfJQHUSDDljjg,WorldMark Las Vegas - Spencer Street,3.25
-g_3XHnCdchIchtC-le2tQ,Planet Hollywood Diamond Lounge,4.375
-h5xQ9lz8ikqpIFXTUKlsg,Enterprise Rent-A-Car,1.0
-hsFN8VQvH26M0WZ3k1Wtg,Jockey Club,2.84
-jS4wGjVCAU6KLccdPJhyQ,Holiday Inn Express Edinburgh - Waterfront,4.0
-kG0N8sBhBotMbu0KVSPaw,Toronto Pearson International Airport,2.813008130081301
-lE0qIKSLt5WTPPyFmkiFQ,Radisson Hotel - Chandler,3.0
-lYdynf4uAe2IwuWQ3ex9g,Rest Nest Float Club,4.0
-m7JftwsfLiIROflTCDmrg,Baierl Chevy,4.0
-myzNbEsokPAlsRZqkZlsg,Stuttgart Marriott Hotel Sindelfingen,4.333333333333333
-nCIWJk0QSi3L5__YGWseA,Le Petit Hotel,4.8
-nLsKbL5FxK8N6HtaOhwuA,Autoplateau Location,4.0
-nxls3MGgAoy_DXFlE6P5w,Warden Station,3.5
-pG3s9mnNRHBMZb5-GAERw,Sommet Saint-Sauveur,4.0
-pe8Y19gDT-na7SuoBuE4w,Holiday Inn Express Charlotte West - Gastonia,2.5
-qAQCoYpa5naEqPL8Chuig,Best Way Auto & Truck Rentals,3.0
-s2MwO-16IbHde_sBZ0cRA,Super 8 Las Vegas Nellis AFB Area,2.8
-sAr-LA9TsIdl37UjwBlvg,The Clarendon Hotel,3.7545454545454544
-sOEyI9AKMds4oR1tVTjIw,Carmel's Taxi Limo,5.0
-ucQnELMVRIUOi3-Kv5r0Q,Euro Cycle Las Vegas,3.727272727272727
-xqMZsrhRp6u0MP84wUsag,Hilton Toronto Airport Hotel & Suites,3.090909090909091
-yZf2fmb6j6B8-GPBghdJg,Killian Beef,5.0
-zCngfAQdoS5Nfr_-G0N5w,Wide World Maps & More!,3.0
-zge19VgbAf9FZzVu21vkg,Courtyard by Marriott Toronto Northeast/Markham,4.0
00kW9yjLlphQLoh7G_3i5w,Enterprise Rent-A-Car,5.0
012zJ55kMkbAsoPxG1TLGQ,Darner Chrysler Jeep,5.0
02YwZJsj3YWcthdUVcfFuA,Courtyard by Marriott Charlotte Arrowood,2.75
02ZALm7yp3yReRoI9EFGxA,Rodeway Inn,3.0
03RdFNkAXISiQ6sLndNRVg,Römerhof,4.0
04J0jzIQnBvFE5AlQHiLgg,Zetian Limousine,1.0
04__PnXBxnEhgyMv_jYddg,AAA Paradise Valley Auto Repair,4.375
04hacnUYlCiUprno4UuPtw,Chandler Inn,1.0
05USFUs4dX8LG6DCY2GNAA,SPEEDVEGAS,4.916666666666667
09LLHpBoJNlFgjNmvOt3OA,Motel 6,1.3333333333333333
09y2dPVpvVIyrYaeuBFQ5Q,Hertz Rent A Car,4.0
0ACRYFhtWjcLvLw7jrwmdQ,SI-Erlebnis-Centrum,3.0
0BVHJrRS6Cz4Z66bASb4kw,The Carriage House,2.888888888888889
0C6HzjH6fa6jcdMQ94V1fA,Holiday Inn Express Oakwood Village,1.0
0Cdww5Q7-B9SCgInDbbxdg,Enterprise Rent-A-Car,2.6666666666666665
0DCMSaBACyudY-QSKt7vGg,U.S. Customs and Border Protection,3.25
0EIJ6CYmvwEjlv4hcHfm1g,Montreal Airport Marriott In-Terminal Hotel,4.5
0ET8DCDWYbbqO4UAlpSSNA,Boxotel,5.0
0FVOh4aVtEBR_N5XwBNLRw,Great Lakes Service Plaza,4.0
0Fd61Vxpb7m6ieqcl3zB2w,Brampton Transit,1.0
0HB1nsaTM-xlHKxxZzjWzw,Howard Johnson Cleveland Airport,1.0
0HpI622wnz7ePcJYmIVkTQ,Hilton Garden Inn Scottsdale North/Perimeter Center,3.6
0HrrkOIPLPByNe5pM9Uayw,Hotel St-Denis,4.0
0J56cnMGPlWOEXXrhlY6UA,Super 8 Verona/Madison,1.0
0JU9KAK42rwoPtQnZl-f3A,Econo Lodge Inn & Suites,2.75
0K2rKvqdBmiOAUTebcUohQ,Red Rock Canyon Visitor Center,5.0
0KQJYTJuX4qDE-8dRqNl6w,Roundup Lake,4.0
0LG3xsnWrY_Il598TqR7Mg,Enterprise Rent-A-Car,5.0
0M6SBa63Mi2JkzMrnYhxJA,W Montreal,3.823529411764706
0O9J-cbzBDxiIwbx44_Iyg,Air Canada,1.0
