,business_id,total_ratings
0,--o5BoU7qYMALeVDK6mwVg,2
1,--orEUqwTzz5QKbmyYbAWw,1
2,-0VImVWDeqewaA3th8fzIg,3
3,-0XFoI1UKfuRKwyAl85zAQ,4
4,-0qht1roIqleKiQkBLDkbw,69
5,-1H-8MO9uEyS9MGmPz3RQw,1
6,-20nZ6ztmBxGW4sOY7JPHA,2
7,-2ToCaDFpTNmmg3QFzxcWg,69
8,-2uhc4spgMqJMy0YSxConA,3
9,-3aIddETchOJB-vHcTbbWw,1
10,-4_n--u4Z_SBbgz1zUKpYw,5
11,-4mgAuWdtcXNkJ2yRWwHzw,2
12,-59qsDRpa1NQLcg1y6zuPg,1
13,-5KBZ3UmQzW_PkrjHGMuUg,8
14,-8-JRYJpYbCVD1nu7m_8AQ,4
15,-8oIw0-YzvYNRydiOPyasw,2
16,-8oOxTgKC6VkE07opJyl-w,1
17,-A5jntJgFglQ6zwAmOiOMw,10
18,-AZN6ojHeKPMubDFgDK84g,7
19,-C8S2OPEOI1fL-2Q41tWVA,61
20,-CAH9wLiFuilgPsERKXL5A,2
21,-CXi1Mzut65e9nvEuhPuHg,1
22,-D-xLDvJ822k6CrB9WSORQ,1
23,-F6uKOdNYRV3ejbn7MiVNA,13
24,-G9DFmuokdYk_H35ezRkAw,1
25,-H7FXAmu00DQ3fdOGxxBCg,2
26,-It8eqCz-Jo83vJhgK1vDw,2
27,-MQZ6z1-5xVwuiuE_rngQA,10
28,-MWC_QuOCSOXlJ9G2ohZMA,2
29,-MwAxDEDeWxN2Mj9U0Rzww,3
30,-Odt3mjp83IoQhzJkzRZdA,1
31,-Ouptmot-7ECpeyWNZufPA,4
32,-P76AJ-L73FvsgqO4RnG2A,27
33,-QqEeuxJbuXmCcTJq3E2sg,3
34,-SqkZhrDhdctuFiaweGR6g,2
35,-Suap0Wo7-lcUXadXsgmOQ,8
36,-TwP7k3C82gufX0ya4VfQg,1
37,-U5zzQisAz0QHjr_TFIIGQ,3
38,-UZwW6dbda9tG-DBL73Xcw,3
39,-Ucy8i4uc_OzN8y5fkGVaQ,44
40,-Ud5PK1dNQUMf2wfFeMdSw,3
41,-VIovoVYsiTt7-U_BNOFnw,2
42,-VruCC0mPOyZXW1MfQLkQA,8
43,-WB69WHshN1CvOGaKR3V2g,3
44,-WlGnDiAwHdhclu9l8786g,38
45,-Wm-SQIPPHYw230i53M7EQ,2
46,-ZM7SswolaaD_PkyvaXLnA,7
47,-ZrgivYktB5OJB78SjZ-XQ,1
48,-aEfF30-HyO6qZI909VXFQ,4
49,-aZJYlL8sb8UGHcFoDIqSA,7
50,-aqb_GgAbEIOdhbY0UDKog,17
51,-bu1imZrNNcACAeGfb6psg,5
52,-cMZseG83WjioeJytzrM3g,2
53,-fGIrAgvRyYg-w_j0v6JbQ,1
54,-g4nKtwFs2ZqC-P_caNmxg,1
55,-g7Gj0FfctLeKHNfToNI5A,11
56,-g81bxMqgpfJQHUSDDljjg,4
57,-g_3XHnCdchIchtC-le2tQ,8
58,-h5xQ9lz8ikqpIFXTUKlsg,1
59,-hsFN8VQvH26M0WZ3k1Wtg,50
60,-jS4wGjVCAU6KLccdPJhyQ,1
61,-kG0N8sBhBotMbu0KVSPaw,123
62,-lE0qIKSLt5WTPPyFmkiFQ,4
63,-lYdynf4uAe2IwuWQ3ex9g,5
64,-m7JftwsfLiIROflTCDmrg,2
65,-myzNbEsokPAlsRZqkZlsg,3
66,-nCIWJk0QSi3L5__YGWseA,15
67,-nLsKbL5FxK8N6HtaOhwuA,1
68,-nxls3MGgAoy_DXFlE6P5w,2
69,-pG3s9mnNRHBMZb5-GAERw,1
70,-pe8Y19gDT-na7SuoBuE4w,2
71,-qAQCoYpa5naEqPL8Chuig,2
72,-s2MwO-16IbHde_sBZ0cRA,5
73,-sAr-LA9TsIdl37UjwBlvg,110
74,-sOEyI9AKMds4oR1tVTjIw,3
75,-ucQnELMVRIUOi3-Kv5r0Q,11
76,-xqMZsrhRp6u0MP84wUsag,11
77,-yZf2fmb6j6B8-GPBghdJg,1
78,-zCngfAQdoS5Nfr_-G0N5w,2
79,-zge19VgbAf9FZzVu21vkg,1
80,00kW9yjLlphQLoh7G_3i5w,1
81,012zJ55kMkbAsoPxG1TLGQ,1
82,02YwZJsj3YWcthdUVcfFuA,4
83,02ZALm7yp3yReRoI9EFGxA,1
84,03RdFNkAXISiQ6sLndNRVg,1
85,04J0jzIQnBvFE5AlQHiLgg,1
86,04__PnXBxnEhgyMv_jYddg,8
87,04hacnUYlCiUprno4UuPtw,1
88,05USFUs4dX8LG6DCY2GNAA,24
89,09LLHpBoJNlFgjNmvOt3OA,3
90,09y2dPVpvVIyrYaeuBFQ5Q,1
91,0ACRYFhtWjcLvLw7jrwmdQ,4
92,0BVHJrRS6Cz4Z66bASb4kw,9
93,0C6HzjH6fa6jcdMQ94V1fA,2
94,0Cdww5Q7-B9SCgInDbbxdg,3
95,0DCMSaBACyudY-QSKt7vGg,4
96,0EIJ6CYmvwEjlv4hcHfm1g,4
97,0ET8DCDWYbbqO4UAlpSSNA,1
98,0FVOh4aVtEBR_N5XwBNLRw,2
99,0Fd61Vxpb7m6ieqcl3zB2w,1
100,0HB1nsaTM-xlHKxxZzjWzw,4
101,0HpI622wnz7ePcJYmIVkTQ,5
102,0HrrkOIPLPByNe5pM9Uayw,7
103,0J56cnMGPlWOEXXrhlY6UA,1
104,0JU9KAK42rwoPtQnZl-f3A,4
105,0K2rKvqdBmiOAUTebcUohQ,2
106,0KQJYTJuX4qDE-8dRqNl6w,1
107,0LG3xsnWrY_Il598TqR7Mg,2
108,0M6SBa63Mi2JkzMrnYhxJA,17
109,0O9J-cbzBDxiIwbx44_Iyg,1
110,0OKlVYVOjCiZcgxlyBuEeQ,11
111,0Q2t5VHwhFfjB42jPdMKJA,1
112,0QzCeORfF8EY34UODWRV9A,73
113,0TUqA5zzBpj8izS96M_50A,18
114,0UEQvzlePYUnpe_a40-RtQ,3
115,0UlMUHtEDgDMkycBQpoAew,72
116,0V-I5TazN_FeeHg4oiXHDA,2
117,0VUISnHjK9z9ihkwyEtpSQ,8
118,0XF5tnQeSZO8BG6OErfK3Q,5
119,0X_J5lCwM12tJ8Esv-0lgg,1
120,0Xf5VcIsqWQTSyV46j1g4Q,7
121,0XoTT540HMB_5q4Exj8yGA,79
