,address,description,image_url,pid,place,state,state_code
0,"Huntsville, AL","While Houston and Cape Canaveral grab all the glory for the US space program, Wernher von Braun and his gang actually developed all the equipment that sent Americans to space in tiny Huntsville, Alabama. Here you can see the largest collection of space hardware in the world, as well as Apollo 16 and the only fully stacked shuttle display, plus... SPACE CAMP!",E:\touristplaces_pics\1.jpg,1,US Space and Rocket Center,Alabama,AL
1,,"When you’ve got the highest point in North America, it’s hard to argue that cruise ship fjords are a better attraction. Denali -- or Mt. McKinley as you may know it -- is the centerpiece of this 6-million-acre national park, only a small percentage of which is accessible by car.",E:\touristplaces_pics\2.jpg,2,Denali National Park and Preserve,Alaska,AK
2,,"While some have argued that a visit to the Grand Canyon basically amounts to driving two hours through the desert, enjoying the canyon's beauty for five minutes, spending another five minutes there because you feel bad, then trying to figure out what to do with the rest of your day, the fact remains -- it's still one of the most awe-inspiring natural wonders in the world.",E:\touristplaces_pics\3.jpg,3,Grand Canyon,Arizona,AZ
3,,"Sure, the somewhat-sulphuric smell of bubbling pools of natural hot water can be occasionally noxious. So can a trip to one of Arkansas’ many Walmarts, but at least here you leave relaxed. America’s oldest national preserve and smallest national park was once home to a mighty row of bathhouses where rich and poor alike came to bathe and be healed by the springs' naturally hot waters. ",E:\touristplaces_pics\4.jpg,4,Hot Springs National Park,Arkansas,AR
4,"San Francisco, CA","o, they didn’t use exploding neck collars or place prisoners in some kind of parallel universe, but The Rock is right up there with most fictional prisons as a place you’d never want to end up.",E:\touristplaces_pics\5.jpg,5,Alcatraz,California,CA
5,"Denver, CO","If you’ve seen one legal marijuana dispensary, you’ve seen ‘em all. And since not everyone can ski, the best attraction in Colorado is hands down this live music venue outside Denver. ",E:\touristplaces_pics\6.jpg,6,Red Rocks Amphitheater,Colorado,CO
6,"New Haven, CT","Yes, we are telling you the coolest thing to do in Connecticut is eat lunch. ESPN headquarters is more overrated than the SEC, and Louis' Lunch is the birthplace of the hamburger (although why it’s not called a Newhavener, you’ll have to ask them). If you don't believe us, just ask the Library of Congress.",E:\touristplaces_pics\7.jpg,7,Louis' Lunch,Connecticut,CT
7,"Rehoboth Beach, DE","You know people love your beer when consumer demand forces you to expand your facilities TWICE in less than 20 years. Which is what the makers of your favorite 90 Minute IPA and Indian Brown Ale have done, with this location on The Avenue in one of America's best small beach towns. ",E:\touristplaces_pics\8.jpg,8,Dogfish Head Brewery,Delaware,DE
8,"Orlando,FL","Because federal law mandates that all people with children who live east of the Mississippi must visit this Central Florida fun factory at least once. Sure, Florida has thousands of miles of beaches and the insanity of Miami, but spending three hours in line with sweltering humidity, screaming children, and a melting mouse-ear ice cream bar for a three-minute ride really puts the “sunshine” in your “Sunshine State” experience.",E:\touristplaces_pics\9.jpg,9,Disney world,Florida,FL
9,"Atlanta,GA","“Aquarium” is kind of a deceiving term here, as this Atlanta aqua land is really more like SeaWorld without the animal abuse. Here you can scuba dive with whale sharks and manta rays, play with otters and penguins, work alongside Beluga trainers",E:\touristplaces_pics\10.jpg,10,Georgia Aquarium,Georgia,GA
